"","X","artist_name1","track_name1","artist_name2","track_name2","song_key1","song_key2","label","artist_name_1","track_name_1","acousticness_1","danceability_1","duration_ms_1","energy_1","instrumentalness_1","key_1","liveness_1","loudness_1","mode_1","speechiness_1","tempo_1","time_signature_1","valence_1","popularity_1","artist_name_2","track_name_2","acousticness_2","danceability_2","duration_ms_2","energy_2","instrumentalness_2","key_2","liveness_2","loudness_2","mode_2","speechiness_2","tempo_2","time_signature_2","valence_2","popularity_2"
"28",85657," Afrojack","Bassride "," Afrojack","Bringin It Back ","afrojack bassride","afrojack bringin it back",1,"Afrojack","Bassride",0.0158,0.61,154014,0.996,0.883,0,0.682,-3.261,1,0.0704,128.032,4,0.413,57,"Afrojack","Bringin It Back",0.00211,0.743,161152,0.933,0.353,11,0.122,-3.244,0,0.048,128.007,4,0.459,55
"29",85707," Toby Green","Party People "," Axwell","Nobody Else ","toby green party people","axwell nobody else",1,"Toby Green","Party People",0.00396,0.629,152857,0.957,0.706,1,0.371,-2.976,1,0.0427,125.965,4,0.329,50,"Axwell","Nobody Else",0.000861,0.664,237097,0.8,0.163,1,0.0832,-6.587,1,0.0448,123.994,4,0.318,60
"30",85833," Bali Bandits","Voulez Vous "," Moska","House Religion ","bali bandits voulez vous","moska house religion",1,"Bali Bandits","Voulez Vous",0.0257,0.384,195399,0.934,0.565,1,0.103,-2.75,1,0.227,127.037,4,0.275,19,"MOSKA","House Religion",0.0244,0.749,159040,0.962,0.553,7,0.324,-2.949,1,0.183,124.981,4,0.432,24
"31",85834," Moska","House Religion "," RetroVision","Get Down ","moska house religion","retrovision get down",1,"MOSKA","House Religion",0.0244,0.749,159040,0.962,0.553,7,0.324,-2.949,1,0.183,124.981,4,0.432,24,"Retrovision","Get Down",0.000315,0.736,165938,0.982,0.85,7,0.407,-2.906,1,0.143,128.056,4,0.767,33
"32",85835," RetroVision","Get Down "," KURA","Lambo ","retrovision get down","kura lambo",1,"Retrovision","Get Down",0.000315,0.736,165938,0.982,0.85,7,0.407,-2.906,1,0.143,128.056,4,0.767,33,"Kura","Lambo",0.00557,0.821,149826,0.872,0.107,1,0.0466,-6.08,1,0.0737,124.998,4,0.429,26
"33",85836," KURA","Lambo "," Prismo","Breathe ","kura lambo","prismo breathe",1,"Kura","Lambo",0.00557,0.821,149826,0.872,0.107,1,0.0466,-6.08,1,0.0737,124.998,4,0.429,26,"Prismo","Breathe",0.00221,0.687,186866,0.661,0.00108,4,0.128,-6.512,0,0.0784,140.017,4,0.165,26
"34",85855," Willy Beaman","Her Problem "," We Are Loud","Waverider ","willy beaman her problem","we are loud waverider",1,"Willy Beaman","Her Problem",0.0574,0.673,220343,0.801,0.0974,7,0.0671,-6.207,0,0.0655,122.014,4,0.135,10,"We Are Loud","Waverider",0.00163,0.74,179014,0.857,0.921,11,0.357,-6.594,1,0.0353,121.979,4,0.402,10
"35",85856," We Are Loud","Waverider "," Jyye","Somewhere Else ","we are loud waverider","jyye somewhere else",1,"We Are Loud","Waverider",0.00163,0.74,179014,0.857,0.921,11,0.357,-6.594,1,0.0353,121.979,4,0.402,10,"JYYE","Somewhere Else",0.0218,0.624,161299,0.95,0.00647,1,0.116,-2.639,1,0.0473,122.134,4,0.295,16
"36",86037," Sons Of Maria","Coming Home "," Nora En Pure","Polynesia ","sons of maria coming home","nora en pure polynesia",1,"Sons Of Maria","Coming Home",0.208,0.763,184744,0.816,0.000157,2,0.0807,-4.658,1,0.0537,117.022,4,0.807,37,"Nora En Pure","Polynesia",0.148,0.681,202881,0.705,0.772,10,0.12,-7.866,1,0.0344,118.016,3,0.0395,59
"37",86041," BLR","La Luna (Festival Mix) "," EDX","Sillage ","blr la luna","edx sillage",1,"BLR","La Luna",0.183,0.616,198000,0.771,0.371,1,0.112,-5.889,1,0.0511,120,4,0.0851,36,"EDX","SILLAGE",0.121,0.701,203347,0.933,0.924,7,0.0842,-5.35,0,0.0407,123.992,4,0.726,53
"38",86042," EDX","Sillage "," Dom Dolla","Take It ","edx sillage","dom dolla take it",1,"EDX","SILLAGE",0.121,0.701,203347,0.933,0.924,7,0.0842,-5.35,0,0.0407,123.992,4,0.726,53,"Dom Dolla","Take It",0.0252,0.851,234440,0.74,0.243,0,0.111,-6.126,1,0.0377,123.037,4,0.23,53
"39",86051," Kölsch","Left Eye Left "," Guy Gerber","What To Do (&ME Remix) ","k lsch left eye left","guy gerber what to do",1,"Kölsch","Left Eye Left",0.00115,0.478,320371,0.678,0.922,2,0.188,-14.416,1,0.034,123.015,4,0.0391,43,"Guy Gerber","What To Do",0.165,0.718,300984,0.693,0.815,0,0.104,-10.661,0,0.0382,121.992,4,0.664,58
"40",86051," Kölsch","Left Eye Left "," Guy Gerber","What To Do (&ME Remix) ","k lsch left eye left","guy gerber what to do",1,"Kölsch","Left Eye Left (ABGT275)",0.000145,0.511,277053,0.819,0.882,2,0.125,-11.087,1,0.0338,122.964,4,0.0712,13,"Guy Gerber","What To Do",0.165,0.718,300984,0.693,0.815,0,0.104,-10.661,0,0.0382,121.992,4,0.664,58
"41",86064," EDX","Anthem "," Fisher","Losing It ","edx anthem","fisher losing it",1,"EDX","Anthem",0.00152,0.664,158484,0.86,0.894,7,0.197,-4.505,0,0.0345,121.991,4,0.249,55,"FISHER","Losing It",0.00182,0.76,248036,0.964,0.7,2,0.0974,-5.844,1,0.0576,125,4,0.641,77
"42",86528," EDX","Who Cares "," The Him","Unstoppable ","edx who cares","the him unstoppable",1,"EDX","Who Cares",0.00785,0.766,200488,0.878,1.81e-05,3,0.166,-3.653,0,0.0572,123.054,4,0.66,59,"The Him","Unstoppable",0.0226,0.688,173226,0.881,0.0117,8,0.43,-4.32,0,0.127,123.982,4,0.514,66
"43",86867," Metrush","Heartbeat "," ARTY","Save Me Tonight ","metrush heartbeat","arty save me tonight",1,"Metrush","Heartbeat",0.000151,0.461,162857,0.897,0.0286,6,0.201,-3.903,1,0.0499,125.982,4,0.266,26,"ARTY","Save Me Tonight (ASOT 900 - Part 2)",0.000146,0.443,178065,0.706,0.000149,1,0.0793,-10.133,1,0.0495,129.045,4,0.368,35
"44",86867," Metrush","Heartbeat "," ARTY","Save Me Tonight ","metrush heartbeat","arty save me tonight",1,"Metrush","Heartbeat",0.000151,0.461,162857,0.897,0.0286,6,0.201,-3.903,1,0.0499,125.982,4,0.266,26,"ARTY","Save Me Tonight",0.0113,0.55,170079,0.899,9.65e-05,5,0.137,-3.284,0,0.0458,125.85,4,0.408,73
"45",90538,"Afrojack","Bringin It Back","Afrojack","Bassride","afrojack bringin it back","afrojack bassride",1,"Afrojack","Bringin It Back",0.00211,0.743,161152,0.933,0.353,11,0.122,-3.244,0,0.048,128.007,4,0.459,55,"Afrojack","Bassride (AIR238)",0.0139,0.59,150000,0.993,0.88,11,0.648,-3.78,0,0.112,128.017,4,0.445,2
"46",90538,"Afrojack","Bringin It Back","Afrojack","Bassride","afrojack bringin it back","afrojack bassride",1,"Afrojack","Bringin It Back",0.00211,0.743,161152,0.933,0.353,11,0.122,-3.244,0,0.048,128.007,4,0.459,55,"Afrojack","Bassride",0.0158,0.61,154014,0.996,0.883,0,0.682,-3.261,1,0.0704,128.032,4,0.413,57
"47",92207," Billie Eilish","Bad Guy (Tiësto Big Room Remix) "," Ava Max","So Am I (Toby Green Remix) ","billie eilish bad guy","ava max so am i",1,"Billie Eilish","bad guy",0.308,0.708,194088,0.418,0.093,0,0.1,-10.998,1,0.368,131.926,4,0.578,98,"Ava Max","So Am I",0.0754,0.684,184296,0.677,0,6,0.133,-4.034,1,0.0464,130.141,4,0.595,89
